"Nome","Códigos","Negociação Estendida","Negociação Estendida (%)","Prévio","Var%"
"Ouro Futuros","GC","--","--","4.194,50","-3,29%"
"Cobre Futuros","HG","--","--","5,1020","-1,71%"
"Petróleo WTI Futuros","CL","--","--","58,69","+1,79%"
"Oslo All Share",".OSEAX","--","--","1.868,07","-0,99%"
"Soja Chicago Futuros","ZS","--","--","1.147,00","+0,12%"
"Dow Jones Futuros","YMZ25","--","--","47.547,00","-0,77%"
"The Global Dow USD",".GDOW","--","--","6.081,95","-0,62%"
"Vale SA ADR","VALE.K","12,26","--","12,38","-0,80%"
"Petroleo Brasileiro Petrobras SA ADR","PBR","13,10","--","13,03","+0,39%"
"iShares MSCI Brazil ETF","EWZ","32,92","--","32,98","-0,72%"
"The Financial Select Sector SPDR® Fund","XLF","52,74","--","52,98","-1,29%"
"The Consumer Staples Select Sector SPDR® Fund","XLP","77,57","--","77,32","0,00%"
"The Energy Select Sector SPDR® Fund","XLE","90.94","0.51%","90,48","+0,25%"
"State Street® SPDR® S&P® Metals & Mining ETF","XME","89,52","-3,13%","92,41","-4,12%"
"iShares MSCI Emerging Markets ETF","EEM","54.61","-0.58%","54,93","-1,17%"
"iShares Semiconductor ETF","SOXX.O","280,28","-3,14%","289,38","-3,43%"
"BSE Sensex 30",".BSESN","--","--","84.478,67","+0,10%"
"Hang Seng Futuros","HSIQX5","--","--","26.697,5","-1,05%"
"China A50 Futuros","CHINA50","--","--","15.466,0","-1,36%"
"Dow Jones Shanghai",".DJSH","--","--","554,77","-1,13%"
"SZSE Component",".SZI","--","--","13.476,52","-1,93%"
"Shanghai Composite",".SSEC","--","--","4.029,50","-0,97%"
"Índice Dólar Futuros","DX","--","--","99,050","-0,06%"
"S&P 500 VIX Futuros","VX","--","--","20,45","+7,02%"
"USD/MXN - Dólar Americano Peso Mexicano","USD/MXN - Dólar Americano Peso Mexicano","--","--","18,3040","+0,49%"
"USD/NOK - Dólar Americano Coroa Norueguesa","USD/NOK - Dólar Americano Coroa Norueguesa","--","--","10,0160","+0,68%"
"USD/NZD - Dólar Americano Dólar Neozelandês","USD/NZD - Dólar Americano Dólar Neozelandês","--","--","1,7686","-0,43%"
"USD/AUD - Dólar Americano Dólar Australiano","USD/AUD - Dólar Americano Dólar Australiano","--","--","1,5312","+0,18%"
"USD/KRW - Dólar Americano Won Sul-Coreano","USD/KRW - Dólar Americano Won Sul-Coreano","--","--","1.470,63","-1,20%"
"USD/CNY - Dólar Americano Yuan Chinês","USD/CNY - Dólar Americano Yuan Chinês","--","--","7,0951","+0,06%"
"EUR/BRL - Euro Real Brasileiro","EUR/BRL - Euro Real Brasileiro","--","--","6,1652","+0,25%"
